54244;8790;K200AA;NV;Sun Valley;
4364;8810;KAKI;AK;Juneau;K-LOVE, Inc.
4393;8810;KMLV;NE;Ralston;K-LOVE, Inc.
4545;8810;KARH;AR;Fouke;K-LOVE, Inc.
4596;8810;KATG;TX;Elkhart;AMERICAN FAMILY ASSOCIATION,
4671;8810;KAWD;MN;Detroit Lakes;
4721;8810;KAYB;WA;Sunnyside;AMERICAN FAMILY ASSOCIATION,
4739;8810;KAYT;LA;Jena;BLACK MEDIA WORKS INC,
4787;8810;KBAP;AR;Batesville;TONY V. HAMMACK MINISTRIES,
4804;8810;KBBG;IA;Waterloo;Afro American Community Broadcasting, Inc.
4844;8810;KBCU;KS;North Newton;Bethel College,
5184;8810;KBPW;AR;Hampton;AMERICAN FAMILY ASSOCIATION,
5277;8810;KBTL;KS;El Dorado;Butler County Community College,
5567;8810;KCEP;NV;Las Vegas;Economic Opportunity Board of Clark County,
5581;8810;KCFD;NE;Crawford;Southern Cultural Foundation,
5602;8810;KCFY;AZ;Yuma;Relevant Media, Inc.
5622;8810;KCGS;AR;;
5805;8810;KCNT;NE;Hastings;Central Community College,
5832;8810;KCOU;MO;Columbia;The Curators of the University of Missouri,
5914;8810;KCRY;CA;Mojave;Santa Monica College,
5950;8810;KCTI;TX;;
5978;8810;KCUK;AK;Chevak;Kashunamiut School District,
6022;8810;KCWC;WY;;
6040;8810;KCWU;WA;Ellensburg;Trustees of Central Washington University,
6207;8810;KDDF;CA;;El Sembrador Ministries,
6329;8810;KDHX;MO;;Double Helix Corporation,
6360;8810;KDJC;OR;Baker;CSN International, Inc.
6472;8810;KDNK;CO;Glenwood Springs;Carbondale Community Access Radio, Inc.
6532;8810;KDPS;IA;;Community Broadcasting, Inc.
6659;8810;KDUP;CA;Cedarville;OpenSkyRadio,
6843;8810;KEBR;CA;Sacramento;Family Stations, Inc.
6858;8810;KECG;CA;El Cerrito;West Contra Costa County Unified School District,
7052;8810;KEJS;NE;Sargent;VSS Catholic Communications, Inc.
7142;8810;KENE;NM;Eagle Tail;Eastern New Mexico University,
7153;8810;KENP;NM;Las Vegas;Eastern New Mexico University,
7528;8810;KFCA;SD;Aberdeen;American Christian Radio,
7533;8810;KFCF;CA;Fresno;Fresno Free College Foundation,
7643;8810;KFGL;MT;Butte;
7649;8810;KFGR;WY;Powell;Trinity Bible Church,
7660;8810;KFHC;NE;Ponca;St. Gabriel Communications, Ltd.
7763;8810;KFLB;TX;;
7884;8810;KFPS;AK;False Pass;Aleutian Peninsula Broadcasting, Inc.
7976;8810;KFTG;TX;Pasadena;Aleluya Broadcasting Network,
8449;8810;KGLL;WY;Gillette;Real Presence Radio,
8515;8810;KGNZ;TX;Abilene;Christian Broadcasting Company, Inc.
8601;8810;KGRH;SD;Loomis;The Praise Network, Inc.
8602;8810;KGRI;OR;Lebanon;K-LOVE, Inc.
8698;8810;KGVA;MT;Fort Belknap Agency;Aaniiih Nakoda College,
9039;8810;KHID;TX;Mcallen;Relevant Radio, Inc.
9079;8810;KHJR;MO;St. Thomas;COVENANT NETWORK,
